stock_id,stock_name,industry_category,coverage_ratio
1513,中興電,電機機械,1.0
1514,亞力,電機機械,1.0
1515,力山,電機機械,1.0
1517,利奇,電機機械,1.0
1519,華城,電機機械,1.0
1521,大億,汽車工業,1.0
1522,堤維西,汽車工業,1.0
1526,日馳,電機機械,1.0
1528,恩德,電機機械,1.0
1531,高林股,電機機械,1.0
1532,勤美,電機機械,1.0
1533,車王電,汽車工業,1.0
1536,和大,汽車工業,1.0
1537,廣隆,電機機械,1.0
1539,巨庭,電機機械,1.0
1540,喬福,電機機械,1.0
1558,伸興,電機機械,1.0
1560,中砂,電機機械,1.0
1568,倉佑,汽車工業,1.0
1589,永冠-KY,電機機械,1.0
1590,亞德客-KY,電機機械,1.0
1597,直得,電機機械,1.0
1605,華新,電器電纜,1.0
1608,華榮,電器電纜,1.0
1609,大亞,電器電纜,1.0
1612,宏泰,電器電纜,1.0
1616,億泰,電器電纜,1.0
1626,艾美特-KY,電器電纜,1.0
1702,南僑,食品工業,1.0
1707,葡萄王,化學生技醫療,1.0
1708,東鹼,化學工業,1.0
1710,東聯,化學工業,1.0
1711,永光,化學生技醫療,1.0
1712,興農,化學生技醫療,1.0
1714,和桐,化學工業,1.0
1718,中纖,化學工業,1.0
1722,台肥,化學工業,1.0
1723,中碳,化學工業,1.0
1727,中華化,化學工業,1.0
1730,花仙子,化學工業,1.0
1733,五鼎,化學生技醫療,1.0
1736,喬山,生技醫療業,1.0
1737,臺鹽,食品工業,1.0
1752,南光,化學生技醫療,1.0
1762,中化生,化學生技醫療,1.0
1773,勝一,化學工業,1.0
1783,和康生,化學生技醫療,1.0
1786,科妍,生技醫療業,1.0
1789,神隆,化學生技醫療,1.0
1795,美時,化學生技醫療,1.0
1802,台玻,玻璃陶瓷,1.0
1808,潤隆,建材營造,1.0
1817,凱撒衛,玻璃陶瓷,1.0
1904,正隆,造紙工業,1.0
1906,寶隆,造紙工業,1.0
1907,永豐餘,造紙工業,1.0
1909,榮成,造紙工業,1.0
2002,中鋼,鋼鐵工業,1.0
2009,第一銅,鋼鐵工業,1.0
2010,春源,鋼鐵工業,1.0
2013,中鋼構,鋼鐵工業,1.0
2014,中鴻,鋼鐵工業,1.0
2015,豐興,鋼鐵工業,1.0
2020,美亞,鋼鐵工業,1.0
2023,燁輝,鋼鐵工業,1.0
2024,志聯,鋼鐵工業,1.0
2029,盛餘,鋼鐵工業,1.0
2059,川湖,電子零組件業,1.0
2062,橋椿,其他,1.0
2101,南港,橡膠工業,1.0
2103,台橡,橡膠工業,1.0
2105,正新,橡膠工業,1.0
2106,建大,橡膠工業,1.0
2108,南帝,橡膠工業,1.0
2114,鑫永銓,橡膠工業,1.0
2227,裕日車,汽車工業,1.0
2228,劍麟,汽車工業,1.0
2233,宇隆,汽車工業,1.0
2301,光寶科,電腦及週邊設備業,1.0
2302,麗正,電子工業,1.0
2305,全友,電子工業,1.0
